,Year,coder1-encodings,Consistency,X,Y
1683,2005,Surface/Volume,1,822,6
1684,2005,Surface/Volume,1,823,6
1685,2005,Surface/Volume,1,824,6
1686,2005,Surface/Volume,1,825,6
1687,2005,Surface/Volume,1,826,6
1688,2005,Surface/Volume,1,827,6
1689,2005,Surface/Volume,1,828,6
1690,2005,Surface/Volume,1,829,6
1691,2005,Surface/Volume,1,830,6
1692,2005,Surface/Volume,1,831,6
1693,2005,Surface/Volume,1,832,6
1694,2005,Surface/Volume,1,833,6
1695,2005,Surface/Volume,1,834,7
1696,2005,Surface/Volume,1,835,7
1697,2005,Surface/Volume,1,836,7
1698,2005,Surface/Volume,1,837,7
1699,2005,Surface/Volume,1,838,7
1700,2005,Surface/Volume,1,789,7
1701,2005,Surface/Volume,1,790,7
1702,2005,Surface/Volume,1,791,7
1703,2005,Surface/Volume,1,792,7
1704,2005,Surface/Volume,1,793,7
1705,2005,Surface/Volume,1,794,7
1706,2005,Surface/Volume,1,795,7
1707,2005,Surface/Volume,1,796,7
1708,2005,Surface/Volume,1,797,7
1709,2005,Surface/Volume,1,798,7
1710,2005,Surface/Volume,1,799,7
1711,2005,Surface/Volume,1,800,7
1712,2005,Surface/Volume,1,801,7
1713,2005,Surface/Volume,1,802,7
1714,2005,Surface/Volume,1,803,7
1715,2005,Surface/Volume,1,804,7
1716,2005,Surface/Volume,1,805,7
1717,2005,Surface/Volume,1,806,7
1718,2005,Surface/Volume,1,807,7
1719,2005,Surface/Volume,1,808,7
1720,2005,Surface/Volume,1,809,7
1721,2005,Surface/Volume,1,810,7
1722,2005,Surface/Volume,1,811,7
1723,2005,Surface/Volume,1,812,7
1724,2005,Surface/Volume,1,813,7
1725,2005,Surface/Volume,1,814,7
1726,2005,Surface/Volume,1,815,7
1727,2005,Surface/Volume,1,816,7
1728,2005,Surface/Volume,1,817,7
1729,2005,Surface/Volume,1,818,7
1730,2005,Surface/Volume,1,819,7
1731,2005,Surface/Volume,1,820,7
1732,2005,Surface/Volume,1,821,7
1733,2005,Surface/Volume,1,822,7
1734,2005,Surface/Volume,1,823,7
1735,2005,Surface/Volume,1,824,7
1736,2005,Surface/Volume,1,825,7
1737,2005,Surface/Volume,1,826,7
1738,2005,Surface/Volume,1,827,7
1739,2005,Surface/Volume,1,828,7
1740,2005,Surface/Volume,1,829,7
1741,2005,Surface/Volume,1,830,7
1742,2005,Surface/Volume,1,831,7
1743,2005,Surface/Volume,1,832,7
1744,2005,Surface/Volume,1,833,7
1745,2005,Surface/Volume,1,834,8
1746,2005,Surface/Volume,1,835,8
1747,2005,Surface/Volume,1,836,8
1748,2005,Surface/Volume,1,837,8
1749,2005,Surface/Volume,1,838,8
1750,2005,Surface/Volume,1,789,8
1751,2005,Surface/Volume,1,790,8
1752,2005,Surface/Volume,1,791,8
1753,2005,Surface/Volume,1,792,8
1754,2005,Surface/Volume,1,793,8
1755,2005,Surface/Volume,1,794,8
1756,2005,Surface/Volume,1,795,8
1757,2005,Surface/Volume,1,796,8
1758,2005,Surface/Volume,1,797,8
1759,2005,Surface/Volume,1,798,8
1760,2005,Surface/Volume,1,799,8
1761,2005,Surface/Volume,1,800,8
1762,2005,Surface/Volume,1,801,8
1763,2005,Surface/Volume,1,802,8
1764,2005,Surface/Volume,1,803,8
1765,2005,Surface/Volume,1,804,8
1766,2005,Surface/Volume,1,805,8
1767,2005,Surface/Volume,1,806,8
1768,2005,Surface/Volume,1,807,8
1769,2005,Surface/Volume,1,808,8
1770,2005,Surface/Volume,1,809,8
1771,2005,Surface/Volume,1,810,8
1772,2005,Surface/Volume,1,811,8
1773,2005,Surface/Volume,1,812,8
1774,2010,Surface/Volume,0,813,8
1775,2010,Surface/Volume,0,814,8
1776,2010,Surface/Volume,0,815,8
1777,2010,Surface/Volume,0,816,8
1778,2010,Surface/Volume,1,817,8
1779,2010,Surface/Volume,1,818,8
1780,2010,Surface/Volume,1,819,8
1781,2010,Surface/Volume,1,820,8
1782,2010,Surface/Volume,1,821,8
1783,2010,Surface/Volume,1,822,8
1784,2010,Surface/Volume,1,823,8
1785,2010,Surface/Volume,1,824,8
1786,2010,Surface/Volume,1,825,8
1787,2010,Surface/Volume,1,826,8
1788,2010,Surface/Volume,1,827,8
1789,2010,Surface/Volume,1,828,8
1790,2010,Surface/Volume,1,829,8
1791,2010,Surface/Volume,1,830,8
1792,2010,Surface/Volume,1,831,8
1793,2010,Surface/Volume,1,832,8
1794,2010,Surface/Volume,1,833,8
1795,2010,Surface/Volume,1,834,9
1796,2010,Surface/Volume,1,835,9
1797,2010,Surface/Volume,1,836,9
1798,2010,Surface/Volume,1,837,9
1799,2010,Surface/Volume,1,838,9
1800,2010,Surface/Volume,1,789,9
1801,2010,Surface/Volume,1,790,9
1802,2010,Surface/Volume,1,791,9
1803,2010,Surface/Volume,1,792,9
1804,2010,Surface/Volume,1,793,9
1805,2010,Surface/Volume,1,794,9
1806,2010,Surface/Volume,1,795,9
1807,2010,Surface/Volume,1,796,9
1808,2010,Surface/Volume,1,797,9
1809,2010,Surface/Volume,1,798,9
1810,2010,Surface/Volume,1,799,9
1811,2010,Surface/Volume,1,800,9
1812,2010,Surface/Volume,1,801,9
1813,2010,Surface/Volume,1,802,9
1814,2010,Surface/Volume,1,803,9
1815,2010,Surface/Volume,1,804,9
1816,2010,Surface/Volume,1,805,9
1817,2010,Surface/Volume,1,806,9
1818,2010,Surface/Volume,1,807,9
1819,2010,Surface/Volume,1,808,9
