,image_id,CFixationPointXImage,CFixationPointYImage,GazeEventDuration
5004,C33,29608.95758,34940.71981,317
5005,C33,28767.64421,30540.77732,183
5006,C33,35109.85272,23229.10817,167
5007,C33,43781.85212,22452.64773,225
5008,C33,50577.07553,22452.64773,208
5009,C33,58019.46307,24329.0938,175
5010,C33,69344.83541,27823.16578,167
5011,C33,69474.26824,23552.63336,225
5012,C33,80605.49134,18376.23042,183
5013,C33,89277.49074,17923.29516,208
5014,C33,100473.4303,22387.9427,275
5015,C33,107333.3701,30540.77732,242
5016,C33,113157.8473,37011.28099,208
5017,C33,108562.9819,48917.00774,425
5018,C33,103968.1166,59528.63376,217
5019,C33,93613.49044,70852.01518,317
5020,C33,80023.04362,81722.46134,242
5021,C33,62808.47766,83469.49733,225
5022,C33,54977.79164,85022.41821,183
5023,C33,45464.47887,85928.28873,308
5024,C33,37827.94209,85410.64843,142
5025,C33,28508.77856,78357.79943,325
5026,C33,18089.436,64705.03669,267
5027,C33,14206.45119,54869.87112,242
5028,C33,25272.95789,48334.66241,217
5029,C33,124094.9212,32481.92842,117
5030,C33,57695.881,49305.23796,192
5031,C33,44299.58343,34164.25937,242
5032,C33,126101.13,41928.86378,142
5033,C33,81446.80472,55905.1517,192
5034,C33,81252.65548,75769.59797,167
5035,C33,79440.5959,81463.6412,183
5036,C33,82352.83451,61858.01508,108
5037,C33,74327.99924,58428.64813,133
5038,C33,71674.6263,57069.84236,100
5039,C33,80670.20776,39017.13713,383
5040,C33,110698.6236,18311.52538,200
26315,C33,55883.82143,37075.98602,208
26316,C33,63843.94027,57328.66251,450
26317,C33,89859.93846,19670.33115,342
26318,C33,59378.50775,20317.38152,433
26319,C33,28249.9129,60822.73449,675
26320,C33,85265.07311,58493.35317,392
26321,C33,93678.20685,27887.87081,442
26322,C33,96266.86339,35328.95003,158
26323,C33,108109.967,35328.95003,150
26324,C33,85523.93876,28146.69096,325
26325,C33,52906.86641,32934.86368,317
33516,C33,47664.83692,44193.54006,250
33517,C33,27538.03235,52540.48979,225
33518,C33,76657.79013,41734.74867,233
33519,C33,82352.83451,30023.13703,267
33520,C33,77822.68557,20058.56137,242
33521,C33,41516.77765,23552.63336,267
33522,C33,34656.83783,25040.8492,258
33523,C33,20289.79405,35264.245,375
33524,C33,24949.37582,25558.48949,150
33525,C33,13494.57065,42770.02925,175
33526,C33,25337.6743,20640.90671,225
33527,C33,21584.12232,22582.05781,175
33528,C33,44752.59832,24523.20891,200
33529,C33,85459.22235,49305.23796,225
33530,C33,67985.79073,63669.75611,217
33531,C33,54718.92598,54158.11571,67
33532,C33,55819.10501,51246.38906,467
33533,C33,49412.18008,55581.62652,192
33534,C33,77240.23785,52540.48979,250
33535,C33,86365.25214,50146.40344,108
33536,C33,37245.49437,51764.02935,400
33537,C33,44558.44908,50922.86388,150
33538,C33,64426.38799,50793.4538,300
33539,C33,79505.31232,41346.51845,217
33540,C33,51030.09042,52540.48979,200
33541,C33,30256.12172,66905.00794,175
33542,C33,84941.49104,27952.57585,333
33543,C33,72062.92478,31187.82769,225
33544,C33,53877.61261,39793.59757,267
33545,C33,47535.4041,44517.06524,683
33546,C33,46540.86862,43990.31832,367
33547,C33,46268.5803,43684.04781,542
33548,C33,47723.44123,43627.37099,92
33549,C33,48725.34719,45983.71274,225
33550,C33,48617.18688,41851.57721,100
33551,C33,44376.16452,42380.90035,400
33552,C33,50723.46645,42597.18293,250
