,image_id,FixationPointX,FixationPointY
65156,C48,438,467
65157,C48,851,457
65158,C48,439,774
65159,C48,433,780
65160,C48,508,618
65161,C48,632,789
65162,C48,385,917
65163,C48,368,826
65164,C48,540,542
65165,C48,588,498
65166,C48,374,764
65167,C48,337,942
65168,C48,566,657
65169,C48,594,942
65170,C48,596,945
65171,C48,409,951
65172,C48,340,862
65173,C48,454,561
65174,C48,559,510
65175,C48,563,874
65176,C48,447,970
65177,C48,1006,354
65178,C48,727,827
65179,C48,595,1321
65180,C48,452,1137
65181,C48,983,833
65182,C48,923,875
65183,C48,1010,673
65184,C48,792,512
65185,C48,795,887
65186,C48,1299,756
65187,C48,1345,1196
65188,C48,1273,950
65189,C48,1377,1104
65190,C48,1324,599
65191,C48,1372,300
65192,C48,1342,394
65193,C48,1444,576
65194,C48,1269,900
65195,C48,1012,391
65196,C48,833,372
65197,C48,1374,707
65198,C48,1715,623
65199,C48,1791,445
65200,C48,1700,495
65201,C48,1353,666
65202,C48,1137,534
65203,C48,921,1034
65204,C48,1594,328
65205,C48,1685,150
65206,C48,1279,141
66838,C48,1088,701
66839,C48,1208,627
66840,C48,996,636
66841,C48,811,751
66842,C48,770,686
66843,C48,818,649
66844,C48,859,688
66845,C48,849,693
66846,C48,797,744
66847,C48,811,729
66848,C48,830,712
66849,C48,708,793
66850,C48,677,837
66851,C48,1003,785
66852,C48,2057,603
66853,C48,2109,600
66854,C48,2117,589
66855,C48,969,798
66856,C48,964,802
66857,C48,987,750
66858,C48,1001,708
66859,C48,1214,836
66860,C48,1074,700
66861,C48,1069,712
66862,C48,1061,719
66863,C48,1051,739
66864,C48,1133,586
66865,C48,1781,943
66866,C48,1765,948
66867,C48,1093,995
66868,C48,1080,971
66869,C48,1039,837
66870,C48,992,845
66871,C48,926,966
66872,C48,983,857
66873,C48,980,822
66874,C48,872,895
66875,C48,854,884
66876,C48,848,908
66877,C48,1074,864
66878,C48,1075,846
66879,C48,841,866
66880,C48,1244,989
66881,C48,490,573
66882,C48,724,615
66883,C48,636,535
66884,C48,1030,434
66885,C48,845,792
66886,C48,768,825
66887,C48,877,598
66888,C48,941,583
66889,C48,860,546
66890,C48,875,541
66891,C48,816,564
66892,C48,943,586
69946,C48,1232,555
69947,C48,1195,661
69948,C48,961,733
69949,C48,999,723
69950,C48,883,793
69951,C48,948,756
69952,C48,946,755
69953,C48,796,799
69954,C48,440,1016
69955,C48,1000,996
69956,C48,1005,993
69957,C48,585,1183
69958,C48,588,1187
69959,C48,1327,595
69960,C48,1387,616
69961,C48,1537,769
69962,C48,1530,766
69963,C48,1536,767
69964,C48,1466,521
69965,C48,1204,570
69966,C48,1406,631
78109,C48,1179,688
78110,C48,947,646
78111,C48,1313,98
78112,C48,981,616
78113,C48,928,709
78114,C48,944,682
78115,C48,929,660
78116,C48,926,585
78117,C48,643,734
78118,C48,664,1086
78119,C48,1015,1118
78120,C48,828,505
78121,C48,792,480
78122,C48,964,367
78123,C48,645,144
78124,C48,866,656
78125,C48,843,973
78126,C48,853,497
78127,C48,685,482
78128,C48,683,493
78129,C48,506,752
78130,C48,1046,930
78131,C48,504,730
78132,C48,245,590
78133,C48,188,444
78134,C48,554,678
78135,C48,525,700
78136,C48,409,1020
78137,C48,403,863
78138,C48,428,843
78139,C48,758,910
78140,C48,1212,1091
78141,C48,759,1294
78142,C48,673,1419
78143,C48,661,1419
78144,C48,1056,854
78145,C48,986,787
78146,C48,808,405
78147,C48,774,444
78148,C48,767,500
78149,C48,690,307
78150,C48,630,370
78151,C48,1361,575
78152,C48,727,825
78153,C48,1501,894
78154,C48,1513,725
78155,C48,1787,893
78156,C48,1458,722
78157,C48,1623,675
78158,C48,1639,654
78159,C48,1611,699
78160,C48,1569,722
78161,C48,1405,788
78162,C48,459,776
78163,C48,1193,413
78164,C48,977,289
78165,C48,955,555
78166,C48,921,467
78167,C48,756,901
78168,C48,622,801
78169,C48,422,1083
78170,C48,531,648
78171,C48,505,571
78172,C48,1149,661
78173,C48,1082,909
78174,C48,1099,869
78175,C48,1017,788
78176,C48,890,708
78177,C48,842,671
78178,C48,1270,791
78179,C48,1119,916
78180,C48,1028,726
78181,C48,918,419
